level_date,rows,date_count,median_abs_distance,mean_abs_distance,pct_within_1,pct_within_2,pct_within_3,pct_within_5,pct_within_10,formula_candidate_score
2026-05-25,11,1,1.9775,8.266818,9.090909,54.545455,54.545455,72.727273,81.818182,62.883523
2026-05-26,9,1,2.885,2.786853,22.222222,33.333333,55.555556,100.0,100.0,67.8875
2026-05-27,8,1,3.335,3.63875,12.5,37.5,50.0,75.0,100.0,58.0125
2026-05-28,9,1,3.835,4.462778,33.333333,44.444444,44.444444,55.555556,88.888889,49.401389
2026-05-29,12,1,2.595,3.505833,33.333333,50.0,50.0,75.0,91.666667,59.8625
2026-06-01,11,1,1.7575,2.344773,18.181818,54.545455,63.636364,90.909091,100.0,72.069886
2026-06-02,8,1,2.835,3.154583,12.5,25.0,50.0,75.0,100.0,59.2625
2026-06-03,10,1,2.100625,2.65175,10.0,50.0,60.0,100.0,100.0,71.848437
2026-06-04,7,1,1.55,1.778214,28.571429,57.142857,85.714286,100.0,100.0,84.796429
2026-06-05,9,1,2.905,2.919898,22.222222,44.444444,66.666667,77.777778,100.0,67.281944
2026-06-08,9,1,3.55,4.909253,22.222222,33.333333,33.333333,55.555556,88.888889,45.113889
2026-06-09,8,1,2.1,2.2775,25.0,37.5,75.0,100.0,100.0,78.6
2026-06-10,9,1,2.386667,2.390097,33.333333,44.444444,55.555556,100.0,100.0,69.133332
2026-06-11,12,1,1.765,2.54,33.333333,50.0,75.0,75.0,100.0,73.1875
2026-06-12,12,1,6.738125,6.206238,8.333333,8.333333,16.666667,33.333333,100.0,24.088021
2026-06-15,12,1,2.44625,6.894688,25.0,41.666667,58.333333,75.0,83.333333,63.984375
2026-06-16,10,1,2.25875,3.28775,20.0,40.0,60.0,70.0,100.0,63.953125
2026-06-17,10,1,1.37375,3.858585,30.0,60.0,80.0,90.0,90.0,80.165625
2026-06-18,8,1,2.322944,4.329174,0.0,37.5,62.5,62.5,100.0,63.04264
2026-06-19,9,1,1.88875,2.845278,22.222222,55.555556,66.666667,77.777778,100.0,69.822569
2026-06-22,9,1,4.565,4.268408,22.222222,22.222222,33.333333,55.555556,100.0,42.576389
2026-06-23,9,1,3.76875,3.265694,0.0,33.333333,44.444444,88.888889,100.0,57.900347
2026-06-24,10,1,2.44375,4.175625,30.0,40.0,60.0,70.0,90.0,63.490625
2026-06-25,10,1,3.941694,4.658839,10.0,20.0,40.0,60.0,90.0,48.245766
2026-06-26,10,1,3.123125,4.95875,10.0,20.0,40.0,80.0,90.0,55.292188
2026-06-29,9,1,2.73875,3.944861,11.111111,44.444444,55.555556,55.555556,100.0,57.142014
2026-06-30,9,1,3.91875,3.412361,22.222222,22.222222,33.333333,77.777778,100.0,49.747569
